CODE,JURISDICTION
154,Town of Christiansburg
155,City of Manassas
156,Town of Warrenton
157,Town of Rocky Mount
158,Town of Tazewell
159,Town of Luray
160,Town of Accomac
161,Town of Alberta
162,Town of Altavista
163,Town of Amherst
164,Town of Appalachia
165,Town of Appomattox
166,Town of Ashland
167,Town of Belle Haven
168,Town of Berryville
169,Town of Bloxom
170,Town of Boones Mill
171,Town of Bowling Green
172,Town of Boyce
173,Town of Boydton
174,Town of Boykins
175,Town of Branchville
176,Town of Bridgewater
177,Town of Broadway
178,Town of Brodnax
179,Town of Brookneal
180,Town of Buchanan
181,Town of Burkeville
182,Town of Cape Charles
183,Town of Capron
184,Town of Cedar Bluff
185,Town of Charlotte C.H.
186,Town of Chase City
187,Town of Chatham
188,Town of Cheriton
189,Town of Chilhowie
190,Town of Chincoteague
191,Town of Claremont
192,Town of Clarksville
193,Town of Cleveland
194,Town of Clifton
195,Town of Clinchport
196,Town of Clintwood
198,Town of Coeburn
199,Town of Colonial Beach
200,Town of Columbia
201,Town of Courtland
202,Town of Craigsville
203,Town of Crewe
204,Town of Culpeper
205,Town of Damascus
206,Town of Dayton
207,Town of Dendron
208,Town of Dillwyn
209,Town of Drakes Branch
210,Town of Dublin
211,Town of Duffield
212,Town of Dumfries
213,Town of Dungannon
214,Town of Eastville
215,Town of Edinburg
216,Town of Elkton
217,Town of Exmore
218,Town of Fincastle
219,Town of Floyd
220,Town of Fries
221,Town of Gate City
222,Town of Glade Spring
223,Town of Glasgow
224,Town of Glen Lyn
225,Town of Gordonsville
226,Town of Goshen
227,Town of Gretna
228,Town of Grottoes
229,Town of Grundy
230,Town of Halifax
231,Town of Hallwood
232,Town of Hamilton
233,Town of Haymarket
234,Town of Haysi
235,Town of Herndon
236,Town of Hillsboro
237,Town of Hillsville
239,Town of Honaker
240,Town of Independence
241,Town of Iron Gate
242,Town of Irvington
243,Town of Ivor
244,Town of Jarratt
245,Town of Jonesville
246,Town of Keller
247,Town of Kenbridge
248,Town of Keysville
249,Town of Kilmarnock
250,Town of LaCrosse
251,Town of Lawrenceville
252,Town of Lebanon
253,Town of Leesburg
254,Town of Louisa
255,Town of Lovettsville
256,Town of Madison
257,Town of McKenney
258,Town of Melfa
259,Town of Middleburg
260,Town of Middletown
261,Town of Mineral
262,Town of Monterey
263,Town of Montross
264,Town of Mount Crawford
265,Town of Mount Jackson
266,Town of Narrows
267,Town of Nassawadox
268,Town of New Castle
269,Town of New Market
270,Town of Newsoms
271,Town of Nickelsville
272,Town of Occoquan
273,Town of Onancock
274,Town of Onley
275,Town of Orange
276,Town of Painter
277,Town of Pamplin City
278,Town of Parksley
279,Town of Pearisburg
280,Town of Pembroke
281,Town of Pennington Gap
282,Town of Phenix
283,Town of Pocahontas
284,Town of Port Royal
285,Town of Pound
286,Town of Purcellville
287,Town of Quantico
288,Town of Remington
289,Town of Rich Creek
290,Town of Ridgeway
291,Town of Round Hill
292,Town of Rural Retreat
293,Town of St. Charles
294,Town of Saint Paul
295,Town of Saltville
296,Town of Saxis
297,Town of Scottsburg
298,Town of Scottsville
299,Town of Shenandoah
300,Town of Smithfield
301,Town of South Hill
302,Town of Stanardsville
303,Town of Stanley
304,Town of Stephens City
305,Town of Stony Creek
306,Town of Strasburg
307,Town of Stuart
308,Town of Surry
309,Town of Tangier
310,Town of Tappahannock
311,Town of The Plains
312,Town of Timberville
313,Town of Toms Brook
314,Town of Troutdale
315,Town of Troutville
316,Town of Urbanna
317,Town of Victoria
318,Town of Virgilina
319,Town of Wachapreague
320,Town of Wakefield
321,Town of Warsaw
322,Town of Washington
323,Town of Waverly
324,Town of Weber City
325,Town of West Point
327,Town of White Stone
328,Town of Windsor
329,Town of Wise
330,Town of Woodstock
331,Town of Hurt
339,Town of Clinchco
340,Castlewood
999,Unknown County
