,STATE,STATEFP,COUNTYFP,COUNTYNAME,COUSUBFP,COUSUBNS,COUSUBNAME,CLASSFP,FUNCSTAT,PENN_DOT_MUNI_ID,POPULATION,BIKE_TO_WORK_EST,BIKE_TO_WORK_MARG,WALK_TO_WORK_EST,WALK_TO_WORK_MARG,DRIVE_SOLO_TO_WORK_EST,DRIVE_SOLO_TO_WORK_MARG,CARPOOL_TO_WORK_EST,CARPOOL_TO_WORK_MARG,PUBTRANS_TO_WORK_EST,PUBTRANS_TO_WORK_MARG,AUTOMOBILE_COUNT,BICYCLE_BY_AUTO_COUNT,BICYCLE_DEATH_BY_AUTO_COUNT,BICYCLE_SUSP_SERIOUS_INJ_BY_AUTO_COUNT,PED_BY_AUTO_COUNT,PED_DEATH_BY_AUTO_COUNT,PED_SUSP_SERIOUS_INJ_BY_AUTO_COUNT,BICYCLE_SOLO_COUNT,BICYCLE_DEATH_SOLO_COUNT,BICYCLE_SUSP_SERIOUS_INJ_SOLO_COUNT,PED_SOLO_COUNT,PED_DEATH_SOLO_COUNT,PED_SUSP_SERIOUS_INJ_SOLO_COUNT,TOTAL_BICYCLE_BY_AUTO_COUNT,TOTAL_PED_BY_AUTO_COUNT,TOTAL_BICYCLE_SOLO_COUNT,TOTAL_PED_SOLO_COUNT
41,PA,42,049,ERIE COUNTY,16296,01215205,CORRY CITY,C5,F,25301,6251,55,63,98,92,1882,365,105,104,0,16,5.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0
42,PA,42,079,LUZERNE COUNTY,39792,01216722,KINGSTON TOWNSHIP,T1,A,40220,7076,55,80,1,4,3146,271,228,134,15,25,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0,1.0
43,PA,42,045,DELAWARE COUNTY,79000,01216394,UPPER DARBY TOWNSHIP,T1,A,23111,84986,52,64,1158,372,27588,1096,3751,547,6872,786,223.0,25.0,0.0,1.0,192.0,3.0,15.0,7.0,0.0,0.0,87.0,2.0,9.0,1.0,18.0,0.0,11.0
44,PA,42,071,LANCASTER COUNTY,63440,01216642,RAPHO TOWNSHIP,T1,A,36230,11902,51,71,60,47,5086,427,529,284,79,79,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0
45,PA,42,033,CLEARFIELD COUNTY,41952,01216242,LAWRENCE TOWNSHIP,T1,A,17223,7537,49,58,18,20,2346,251,204,98,0,16,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0
46,PA,42,045,DELAWARE COUNTY,13208,01215175,CHESTER CITY,C5,F,23301,32819,49,37,760,222,7565,607,1476,293,1151,275,97.0,8.0,1.0,0.0,82.0,3.0,22.0,3.0,0.0,1.0,51.0,3.0,13.0,1.0,25.0,1.0,16.0
47,PA,42,091,MONTGOMERY COUNTY,84888,01216885,WHITPAIN TOWNSHIP,T1,A,46225,20189,48,66,122,70,6753,487,365,122,245,76,4.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
48,PA,42,095,NORTHAMPTON COUNTY,21648,01215493,EASTON CITY,C5,F,48302,27860,47,48,1124,263,8939,583,1113,329,464,178,42.0,14.0,0.0,1.0,27.0,1.0,0.0,9.0,0.0,0.0,20.0,0.0,1.0,1.0,1.0,0.0,1.0
49,PA,42,091,MONTGOMERY COUNTY,79256,01216881,UPPER PROVIDENCE TOWNSHIP,T1,A,46222,23851,46,73,88,43,9589,547,880,309,80,46,9.0,1.0,0.0,0.0,10.0,2.0,3.0,0.0,0.0,0.0,11.0,1.0,3.0,0.0,5.0,0.0,4.0
50,PA,42,045,DELAWARE COUNTY,63264,01216389,RADNOR TOWNSHIP,T1,A,23106,33408,46,72,1428,255,8202,704,834,229,1373,284,17.0,3.0,0.0,0.0,15.0,1.0,3.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,4.0,0.0,1.0
51,PA,42,133,YORK COUNTY,53224,01217299,NEWBERRY TOWNSHIP,T1,A,66220,15646,46,52,71,50,7178,530,396,205,0,18,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0
52,PA,42,079,LUZERNE COUNTY,32416,01216715,HANOVER TOWNSHIP,T1,A,40101,11360,45,52,308,216,3493,416,574,147,50,58,26.0,10.0,0.0,2.0,15.0,2.0,2.0,3.0,0.0,0.0,9.0,2.0,1.0,2.0,4.0,0.0,3.0
53,PA,42,071,LANCASTER COUNTY,41224,01216631,LANCASTER TOWNSHIP,T1,A,36220,18320,45,42,45,37,6813,587,633,222,34,34,17.0,8.0,0.0,2.0,9.0,0.0,0.0,4.0,0.0,0.0,10.0,1.0,2.0,2.0,0.0,0.0,3.0
54,PA,42,071,LANCASTER COUNTY,15056,01216616,COLERAIN TOWNSHIP,T1,A,36205,3880,43,56,68,52,1101,208,220,76,6,9,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
55,PA,42,029,CHESTER COUNTY,22056,01216158,EAST WHITELAND TOWNSHIP,T1,A,15214,13739,43,50,126,70,4909,502,526,196,401,199,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
56,PA,42,015,BRADFORD COUNTY,68096,01214956,SAYRE BOROUGH,C5,F,8409,5484,43,47,288,126,1966,293,172,96,0,16,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0
57,PA,42,045,DELAWARE COUNTY,14264,01215177,CLIFTON HEIGHTS BOROUGH,C5,F,23404,6806,42,51,30,37,2184,370,162,185,291,169,18.0,3.0,0.0,0.0,16.0,1.0,0.0,1.0,0.0,0.0,9.0,1.0,2.0,0.0,1.0,0.0,3.0
58,PA,42,017,BUCKS COUNTY,76784,01216032,TINICUM TOWNSHIP,T1,A,9223,3834,41,51,20,23,1392,214,44,53,56,41,3.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
59,PA,42,063,INDIANA COUNTY,36816,01215290,INDIANA BOROUGH,C5,F,32408,13573,41,45,995,240,3663,670,586,300,85,100,14.0,5.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0
60,PA,42,045,DELAWARE COUNTY,64800,01216390,RIDLEY TOWNSHIP,T1,A,23107,30917,40,52,84,51,12759,757,1080,398,901,386,38.0,7.0,0.0,0.0,33.0,1.0,4.0,2.0,0.0,0.0,16.0,1.0,2.0,0.0,5.0,0.0,3.0
61,PA,42,095,NORTHAMPTON COUNTY,33744,01215496,HELLERTOWN BOROUGH,C5,F,48407,6108,40,39,77,49,2335,227,118,70,20,18,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0
62,PA,42,017,BUCKS COUNTY,05616,01216010,BENSALEM TOWNSHIP,T1,A,9202,62456,39,42,588,297,24738,989,3215,585,1322,302,77.0,11.0,0.0,1.0,65.0,7.0,8.0,8.0,0.0,2.0,57.0,7.0,8.0,1.0,15.0,2.0,15.0
63,PA,42,001,ADAMS COUNTY,28960,01214758,GETTYSBURG BOROUGH,C5,F,1407,7423,39,33,1009,164,1656,233,231,99,75,55,9.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0
64,PA,42,077,LEHIGH COUNTY,55576,01216693,NORTH WHITEHALL TOWNSHIP,T1,A,39207,15669,38,36,143,109,6303,428,240,131,71,64,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
65,PA,42,071,LANCASTER COUNTY,81168,01216647,WARWICK TOWNSHIP,T1,A,36235,19000,38,38,87,45,8006,494,610,215,10,16,6.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0
66,PA,42,091,MONTGOMERY COUNTY,79056,01216876,UPPER GWYNEDD TOWNSHIP,T1,A,46113,16910,38,36,28,37,6380,446,342,134,305,108,8.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0
67,PA,42,071,LANCASTER COUNTY,53696,01215346,NEW HOLLAND BOROUGH,C5,F,36415,5743,38,51,87,93,2304,289,241,146,0,16,4.0,1.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0
68,PA,42,021,CAMBRIA COUNTY,64544,01216093,RICHLAND TOWNSHIP,T1,A,11222,12195,37,51,173,88,4346,363,243,106,17,24,7.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0
69,PA,42,091,MONTGOMERY COUNTY,84624,01216884,WHITEMARSH TOWNSHIP,T1,A,46224,19501,35,33,254,135,7307,531,373,140,534,186,9.0,3.0,0.0,1.0,6.0,0.0,3.0,3.0,0.0,1.0,11.0,1.0,1.0,1.0,3.0,1.0,2.0
70,PA,42,091,MONTGOMERY COUNTY,33088,01215470,HATBORO BOROUGH,C5,F,46408,8150,35,52,51,33,3761,321,191,105,112,60,5.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0
71,PA,42,001,ADAMS COUNTY,27320,01215780,FRANKLIN TOWNSHIP,T1,A,1205,4717,35,53,19,33,2064,321,50,64,0,11,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,0.0,1.0,,
72,PA,42,041,CUMBERLAND COUNTY,72384,01216348,SOUTH NEWTON TOWNSHIP,T1,A,21214,1210,35,23,32,19,413,82,101,44,0,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,
73,PA,42,009,BEDFORD COUNTY,86136,01215911,WOODBURY TOWNSHIP,T1,A,5228,1164,35,24,19,16,384,70,30,18,7,11,3.0,1.0,0.0,0.0,2.0,0.0,1.0,,,,,,,0.0,1.0,,
74,PA,42,071,LANCASTER COUNTY,46992,01216635,MANOR TOWNSHIP,T1,A,36223,21703,35,43,182,104,9882,575,815,280,40,41,10.0,4.0,0.0,1.0,6.0,1.0,1.0,8.0,0.0,2.0,3.0,0.0,3.0,1.0,2.0,2.0,3.0
75,PA,42,047,ELK COUNTY,67344,01215203,ST. MARYS CITY,C5,F,24301,12771,35,41,134,68,5114,335,771,266,75,85,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,PA,42,043,DAUPHIN COUNTY,45056,01216360,LOWER PAXTON TOWNSHIP,T1,A,22208,52925,34,38,237,119,21613,896,2454,427,284,139,22.0,4.0,0.0,0.0,19.0,3.0,4.0,7.0,1.0,3.0,21.0,1.0,2.0,0.0,7.0,4.0,3.0
77,PA,42,063,INDIANA COUNTY,09624,01216534,BRUSH VALLEY TOWNSHIP,T1,A,32204,1927,33,17,17,17,633,113,68,32,0,11,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,1.0
78,PA,42,017,BUCKS COUNTY,19792,01216014,DOYLESTOWN TOWNSHIP,T1,A,9205,17825,33,38,121,74,5245,462,345,165,115,91,4.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,3.0
79,PA,42,029,CHESTER COUNTY,21928,01216156,EASTTOWN TOWNSHIP,T1,A,15215,10924,31,38,88,88,3521,415,155,94,217,92,5.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
80,PA,42,079,LUZERNE COUNTY,83856,01215413,WEST PITTSTON BOROUGH,C5,F,40429,4670,31,51,27,43,2266,313,146,138,23,29,4.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
81,PA,42,035,CLINTON COUNTY,44128,01215116,LOCK HAVEN CITY,C5,F,18301,8458,30,30,399,126,2718,371,601,225,1,10,9.0,2.0,0.0,0.0,10.0,0.0,1.0,6.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0
82,PA,42,119,UNION COUNTY,10016,01217128,BUFFALO TOWNSHIP,T1,A,59201,3545,30,34,26,30,945,196,86,98,0,11,3.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,0.0,,
83,PA,42,091,MONTGOMERY COUNTY,79136,01216878,UPPER MERION TOWNSHIP,T1,A,46220,33153,30,27,188,93,12942,591,1070,239,497,116,20.0,0.0,0.0,0.0,21.0,1.0,2.0,3.0,0.0,0.0,16.0,2.0,5.0,0.0,3.0,0.0,7.0
84,PA,42,055,FRANKLIN COUNTY,12536,01215243,CHAMBERSBURG BOROUGH,C5,F,28401,22141,29,26,332,122,7754,602,1074,305,14,21,24.0,4.0,0.0,0.0,20.0,3.0,5.0,4.0,0.0,1.0,24.0,2.0,1.0,0.0,8.0,1.0,3.0
85,PA,42,011,BERKS COUNTY,64592,01215943,RICHMOND TOWNSHIP,T1,A,6232,3605,29,26,150,54,1358,151,131,61,0,11,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
86,PA,42,133,YORK COUNTY,72992,01217306,SPRINGETTSBURY TOWNSHIP,T1,A,66227,27049,29,44,96,81,9607,729,838,248,147,122,19.0,4.0,0.0,1.0,15.0,4.0,1.0,6.0,0.0,2.0,10.0,0.0,1.0,1.0,5.0,2.0,1.0
87,PA,42,071,LANCASTER COUNTY,21032,01216622,EAST DONEGAL TOWNSHIP,T1,A,36211,8597,29,33,68,52,3776,368,525,360,0,16,5.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
88,PA,42,009,BEDFORD COUNTY,72656,01215907,SOUTH WOODBURY TOWNSHIP,T1,A,5221,2137,29,25,76,68,664,114,98,48,21,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,
89,PA,42,071,LANCASTER COUNTY,57848,01216638,PARADISE TOWNSHIP,T1,A,36226,5649,29,41,138,124,1517,266,883,244,4,7,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0
